"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar filters clubs by the exact club name ","7069","should search by exact name","webkit","2026-06-28","failed","2026-06-28","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","9082","should display clubs in the particular city","chromium","2026-06-28","passed","2026-06-28","club-city-located","ui/club-tests/club-city-located.spec.ts","",""
"","9465","tc-59: Verify the full user journey of browsing, reading, and navigating between multiple news articles","webkit","2026-06-28","passed","2026-06-28","news-navigation","ui/news-navigation.spec.ts","",""
"","6271","Step 2 – First FAQ item expands and reveals the answer text and arrow rotates","webkit","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","6139","should display club action buttons and comments section","webkit","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","6040","[TC-044]","webkit","2026-06-28","passed","2026-06-28","Challenge Page","ui/sign-up-button.spec.ts","",""
"Verify that an unauthorized user cannot update a club","109","should not update a club with an unauthorized user","api","2026-06-28","passed","2026-06-28","Club API","api/club-api.spec.ts","",""
"","21155","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-28","failed","2026-06-28","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","19272","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-28","failed","2026-06-28","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","4507","Step 1 – Service page loads correctly and FAQ items are visible and collapsed","chromium","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","10554","TC-93: Verify that Add button is displayed in My Clubs section","chromium","2026-06-28","passed","2026-06-28","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verify that an unauthorized user cannot delete a club","27","should not delete a club with an unauthorized user","api","2026-06-28","passed","2026-06-28","Club API","api/club-api.spec.ts","",""
"","21809","Verify that the ""Єдині"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-28","failed","2026-06-28","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","7517","should display contact information","webkit","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","5399","Step 2 – First FAQ item expands and reveals the answer text and arrow rotates","firefox","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","9224","Verify Social Media and Donation links routing on the Challenge page","firefox","2026-06-28","passed","2026-06-28","TC-043","ui/social-info-test.spec.ts","",""
"","15186","TC-034: Verify that clicking ""Залишити коментар"" and ""Відповісти"" buttons show the authentication modal for unauthorized users","webkit","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","23884","TC-029: Verify that all navigation menu links redirect to the correct pages","firefox","2026-06-28","passed","2026-06-28","Header Navigation Tests","ui/navigation-tests/header-navigation.spec.ts","",""
"","14830","TC-92: Verify navigation through sidebar tabs","firefox","2026-06-28","passed","2026-06-28","Profile Page Tests","ui/profile-page.spec.ts","",""
"","5356","has title","firefox","2026-06-28","passed","2026-06-28","","ui/speak-ukrainian.example.spec.ts","",""
"Filter clubs by city show appropriate results","6512","[TC-05]","chromium","2026-06-28","passed","2026-06-28","Filter clubs by city","ui/filter-by-city.spec.ts","",""
"","11464","TC-034: Verify that clicking ""Залишити коментар"" and ""Відповісти"" buttons show the authentication modal for unauthorized users","chromium","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","4494","Step 4 – Third FAQ item expands and reveals its content","chromium","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","22999","TC-029: Verify that all navigation menu links redirect to the correct pages","webkit","2026-06-28","passed","2026-06-28","Header Navigation Tests","ui/navigation-tests/header-navigation.spec.ts","",""
"","9012","Verify that team member names and roles are displayed correctly for all team members","firefox","2026-06-28","passed","2026-06-28","AboutUs team verification","ui/about-us-page.spec.ts","",""
"","3598","should display comments section","chromium","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","8785","Verify that the News component displays the same news articles after navigating right and then left","firefox","2026-06-28","passed","2026-06-28","News page arrow navigation","ui/navigation-tests/news-arrow-navigation.spec.ts","",""
"","7478","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","webkit","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","5977","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","firefox","2026-06-28","passed","2026-06-28","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","5481","should display main club details","chromium","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","6686","tc-59: Verify the full user journey of browsing, reading, and navigating between multiple news articles","chromium","2026-06-28","passed","2026-06-28","news-navigation","ui/news-navigation.spec.ts","",""
"","15576","tc-58: Verify that changing the global city redirects to clubs, and returning to news displays the updated sidebar","firefox","2026-06-28","passed","2026-06-28","news-navigation","ui/news-navigation.spec.ts","",""
"","20191","TC-90: Verify that user profile information is displayed correctly","webkit","2026-06-28","passed","2026-06-28","Profile Page Tests","ui/profile-page.spec.ts","",""
"","5883","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","chromium","2026-06-28","failed","2026-06-28","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
"","7684","should display comments section","webkit","2026-06-28","passed","2026-06-28","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name ","8120","should search by exact name","firefox","2026-06-28","failed","2026-06-28","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
