"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9668","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","chromium","2026-06-25","passed","2026-06-25","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","6993","should display club action buttons and comments section","webkit","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","5207","should search by hint category and exact name","chromium","2026-06-25","passed","2026-06-25","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"Critical E2E flow: sign in, open the first club from the clubs list, post a comment, and verify it appears without validation errors.","17010","E2E — Login → Clubs → Club Page → Post a Comment","webkit","2026-06-25","passed","2026-06-25","","ui/post-comment-e2e.spec.ts","",""
"Verify that the full list of clubs is retrieved successfully and check the total count.","1452","should return a list of clubs","api","2026-06-25","passed","2026-06-25","Club API","api/club-api.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","13013","should display clubs in the particular city","chromium","2026-06-25","passed","2026-06-25","club-city-located","ui/club-tests/club-city-located.spec.ts","",""
"","5689","should display contact information","firefox","2026-06-25","passed","2026-06-25","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","14197","TC-93: Verify that Add button is displayed in My Clubs section","chromium","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"","6011","Step 1 – Service page loads correctly and FAQ items are visible and collapsed","firefox","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","14333","TC-91: Verify that Edit Profile button is displayed and clickable","webkit","2026-06-25","passed","2026-06-25","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verify that the search bar filters clubs by the exact club name ","9026","should search by exact name","webkit","2026-06-25","passed","2026-06-25","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"","6462","Step 2 – First FAQ item expands and reveals the answer text and arrow rotates","webkit","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verifies that the ""Help the Project"" button on a news article page is visible, enabled, and redirects the user to the correct donation URL.","13319","TC-07 Verify the functionality of the ""Help the Project"" button on a news article page","webkit","2026-06-25","passed","2026-06-25","Help the Project button","ui/help-tests/help-project-button.spec.ts","",""
"","14739","Verify that the ""Навчай українською"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-25","passed","2026-06-25","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","5940","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","firefox","2026-06-25","passed","2026-06-25","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
