"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","should add a new club with required data","chromium","2026-06-29","skipped","2026-06-29","tc-004-add-new-club","ui/club-tests/tc-004-add-new-club.spec.ts","",""
"Filter clubs by city show appropriate results","5796","[TC-05]","chromium","2026-06-29","passed","2026-06-29","Filter clubs by city","ui/filter-tests/filter-by-city.spec.ts","",""
"","13997","TC-034: Verify that clicking ""Залишити коментар"" and ""Відповісти"" buttons show the authentication modal for unauthorized users","firefox","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","5508","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","firefox","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","180","should not approve a registration with negative id","api","2026-06-29","failed","2026-06-29","Club Registration API","api/club-registration-api.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","4019","[TC-044]","chromium","2026-06-29","passed","2026-06-29","Challenge Page","ui/login-tests/sign-up-button.spec.ts","",""
"Verify that a registered user with confirmed email can sign in from the main page, the modal closes, and the header reflects the logged-in state.","8248","Sign In - Successful Login","webkit","2026-06-29","passed","2026-06-29","","ui/login-tests/sign-in-successful-login.spec.ts","",""
"Verify that an error is returned when trying to get a club by an invalid ID.","31","should not get club by zero id","api","2026-06-29","passed","2026-06-29","Club API","api/club-api.spec.ts","",""
"","36","should restrict Manager from getting all tasks (Expect 403)","api","2026-06-29","passed","2026-06-29","Challenge Task API","api/challenge-task-api.spec.ts","",""
"","10372","TC-92: Verify navigation through sidebar tabs","chromium","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verifies that an unauthorized user who navigates to a club details page and clicks the ""Написати менеджеру"" button sees the authentication modal with the message ""Увійдіть або зареєструйтеся!!!"".","10600","TC-094 — Verify that clicking ""Написати менеджеру"" button shows the authentication modal for unauthorized users","webkit","2026-06-29","passed","2026-06-29","","ui/message-manager.spec.ts","",""
"","198","should not approve a registration with zero id","api","2026-06-29","failed","2026-06-29","Club Registration API","api/club-registration-api.spec.ts","",""
"Verify that a news item can be deleted successfully.","81","should delete news successfully","api","2026-06-29","failed","2026-06-29","News API","api/news-api.spec.ts","",""
"Verify that a non-admin (Manager) gets 403 Forbidden when trying to validate certificate data.","72","should restrict Manager from validating excel data (Expect 403)","api","2026-06-29","passed","2026-06-29","Certificate By Template API","api/certificate-by-template-api.spec.ts","",""
"","39","should restrict Manager from generating PDF transfer data (Expect 403)","api","2026-06-29","passed","2026-06-29","Certificate By Template API","api/certificate-by-template-api.spec.ts","",""
"","19","POST /api/station - should return 403 for unauthorized user","api","2026-06-29","passed","2026-06-29","Station CRUD API Tests (Unauthorized)","api/station-api.spec.ts","",""
"Verify that all city IDs in the response are unique.","18","GET /api/cities — each city id should be unique","api","2026-06-29","passed","2026-06-29","City API","api/city-api.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","8931","should display club on the news page information","firefox","2026-06-29","passed","2026-06-29","news club information","ui/club-tests/club-club-details-information.spec.ts","",""
"Verify that the full list of news is retrieved successfully and check the basic structure.","78","should return a list of news","api","2026-06-29","passed","2026-06-29","News API","api/news-api.spec.ts","",""
"Verify that the list of districts is retrieved successfully","78","should return a list of districts","api","2026-06-29","passed","2026-06-29","District API","api/district-api.spec.ts","",""
"","6632","should display main club details","webkit","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","5695","has title","firefox","2026-06-29","passed","2026-06-29","","ui/speak-ukrainian.example.spec.ts","",""
"Verify the ""Зареєструватись"" button visibility and routing","5399","[TC-044]","firefox","2026-06-29","passed","2026-06-29","Challenge Page","ui/login-tests/sign-up-button.spec.ts","",""
"","9588","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","webkit","2026-06-29","failed","2026-06-29","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
"Verify that the user can filter clubs with categories using hints in the search bar","8065","should search by hint category","webkit","2026-06-29","passed","2026-06-29","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"Verify that an authorized user can successfully update an existing category.","72","should update an existing category","api","2026-06-29","failed","2026-06-29","Category API > PUT /category/{id}","api/category-api.spec.ts","",""
"","19","GET /api/stations/{name} - should return empty array for non-existent city","api","2026-06-29","passed","2026-06-29","Station API Tests","api/station-api.spec.ts","",""
"","23","should restrict Manager from getting tasks by challenge ID (Expect 403)","api","2026-06-29","passed","2026-06-29","Challenge Task API","api/challenge-task-api.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","4953","should search by hint category and exact name","firefox","2026-06-29","passed","2026-06-29","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"","4457","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","chromium","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verifies that an unauthorized user who navigates to a club details page and clicks the ""Написати менеджеру"" button sees the authentication modal with the message ""Увійдіть або зареєструйтеся!!!"".","5869","TC-094 — Verify that clicking ""Написати менеджеру"" button shows the authentication modal for unauthorized users","chromium","2026-06-29","passed","2026-06-29","","ui/message-manager.spec.ts","",""
