"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10678","Step 5 – Verify accordion behaviour when multiple items are clicked","webkit","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","23","should add a new club with required data","chromium","2026-06-29","skipped","2026-06-29","tc-004-add-new-club","ui/club-tests/tc-004-add-new-club.spec.ts","",""
"","6660","tc-56: Verify pagination on the News page","firefox","2026-06-29","passed","2026-06-29","news-navigation","ui/news-navigation.spec.ts","",""
"","11945","tc-58: Verify that changing the global city redirects to clubs, and returning to news displays the updated sidebar","chromium","2026-06-29","passed","2026-06-29","news-navigation","ui/news-navigation.spec.ts","",""
"","19268","TC-92: Verify navigation through sidebar tabs","webkit","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verify that an unauthorized user cannot create a club","77","should not create a club with an unauthorized user","api","2026-06-29","passed","2026-06-29","Club API","api/club-api.spec.ts","",""
"Verify updating a club with valid data","367","should update club with valid data","api","2026-06-29","passed","2026-06-29","Club API","api/club-api.spec.ts","",""
"","8068","Step 4 – Third FAQ item expands and reveals its content","webkit","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","12258","tc-59: Verify the full user journey of browsing, reading, and navigating between multiple news articles","webkit","2026-06-29","passed","2026-06-29","news-navigation","ui/news-navigation.spec.ts","",""
"","10565","tc-56: Verify pagination on the News page","webkit","2026-06-29","passed","2026-06-29","news-navigation","ui/news-navigation.spec.ts","",""
"","5225","Step 4 – Third FAQ item expands and reveals its content","chromium","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"","12296","TC-034: Verify that clicking ""Залишити коментар"" and ""Відповісти"" buttons show the authentication modal for unauthorized users","firefox","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Verify deleting a club by non-existing ID","83","should not delete a club by zero id","api","2026-06-29","passed","2026-06-29","Club API","api/club-api.spec.ts","",""
"Verify that the categories endpoint returns a valid list of categories with status 200.","209","should return a list of categories","api","2026-06-29","passed","2026-06-29","Category API > GET /categories","api/category-api.spec.ts","",""
"","4704","Step 1 – Service page loads correctly and FAQ items are visible and collapsed","firefox","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verifies that an unauthorized user who navigates to a club details page and clicks the ""Написати менеджеру"" button sees the authentication modal with the message ""Увійдіть або зареєструйтеся!!!"".","7890","TC-094 — Verify that clicking ""Написати менеджеру"" button shows the authentication modal for unauthorized users","chromium","2026-06-29","passed","2026-06-29","","ui/message-manager.spec.ts","",""
"Verify that challenges list contains required fields.","127","should return challenges with required fields","api","2026-06-29","passed","2026-06-29","Challenge API","api/challenge-api.spec.ts","",""
"","4092","should display main club details","chromium","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","13665","TC-92: Verify navigation through sidebar tabs","chromium","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"","10600","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","webkit","2026-06-29","failed","2026-06-29","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
"","18086","Verify that the ""Клуб української мови ""Розмовляй"""" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","webkit","2026-06-29","passed","2026-06-29","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","10158","Verify that the ""Мовомаратон"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-29","passed","2026-06-29","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
"","8936","should display main club details","webkit","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"","18702","TC-029: Verify that all navigation menu links redirect to the correct pages","firefox","2026-06-29","passed","2026-06-29","Header Navigation Tests","ui/navigation-tests/header-navigation.spec.ts","",""
"","5011","Step 6 – Last FAQ item collapses on second click and arrow returns to original state","firefox","2026-06-29","passed","2026-06-29","TC-030 Сhecking the functionality of the ""Services in Ukrainian"" page","ui/services-faq.spec.ts","",""
"Verify that club information on the News page matches the original club card on the Club page","5579","should display club on the news page information","chromium","2026-06-29","passed","2026-06-29","news club information","ui/club-tests/club-club-details-information.spec.ts","",""
"Verify that a manager can get a list of their club registrations.","273","should return a list of registrations by manager ID","api","2026-06-29","passed","2026-06-29","Club Registration API","api/club-registration-api.spec.ts","",""
"Verify homepage category selection redirects to the clubs filtered by the chosen category","5067","[TC-6]","chromium","2026-06-29","failed","2026-06-29","Right redirection from home page","ui/filter-tests/filter-check-test.spec.ts","",""
"Verify that the full list of news is retrieved successfully and check the basic structure.","188","should return a list of news","api","2026-06-29","passed","2026-06-29","News API","api/news-api.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","9482","should search by hint category and exact name","webkit","2026-06-29","passed","2026-06-29","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","5430","Verify Social Media and Donation links routing on the Challenge page","firefox","2026-06-29","passed","2026-06-29","TC-043","ui/social-info-test.spec.ts","",""
"","11640","TC-93: Verify that Add button is displayed in My Clubs section","chromium","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"Verify that the user can select a location in the advanced search for a centre type and filter by city and district.","25296","should display centres in the particular city","firefox","2026-06-29","passed","2026-06-29","club-advanced-search","ui/club-tests/club-advanced-search.spec.ts","",""
"","7330","TC-035: Verify that the club search returns correct results when searching by club name ""American Gymnastics Club"" @High","firefox","2026-06-29","failed","2026-06-29","Clubs Page - Search Functionality","ui/search-club.spec.ts","",""
"","21922","TC-90: Verify that user profile information is displayed correctly","webkit","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"Filter clubs by city show appropriate results","7938","[TC-05]","chromium","2026-06-29","passed","2026-06-29","Filter clubs by city","ui/filter-tests/filter-by-city.spec.ts","",""
"","11381","Verify that the News component displays the same news articles after navigating right and then left","webkit","2026-06-29","passed","2026-06-29","News page arrow navigation","ui/navigation-tests/news-arrow-navigation.spec.ts","",""
"Verify that an unauthorized user cannot update a club","77","should not update a club with an unauthorized user","api","2026-06-29","passed","2026-06-29","Club API","api/club-api.spec.ts","",""
"","39","should add a new club with required data","webkit","2026-06-29","skipped","2026-06-29","tc-004-add-new-club","ui/club-tests/tc-004-add-new-club.spec.ts","",""
"","83","should restrict Manager from getting all tasks (Expect 403)","api","2026-06-29","passed","2026-06-29","Challenge Task API","api/challenge-task-api.spec.ts","",""
"Verify that an unauthorized user cannot create a challenge.","159","should not create a challenge with an unauthorized user","api","2026-06-29","passed","2026-06-29","Challenge API","api/challenge-api.spec.ts","",""
"","9774","should display contact information","webkit","2026-06-29","passed","2026-06-29","Club details page","ui/club-tests/club-details-page.spec.ts","",""
"Filter clubs by city show appropriate results","7432","[TC-05]","firefox","2026-06-29","passed","2026-06-29","Filter clubs by city","ui/filter-tests/filter-by-city.spec.ts","",""
"","18522","TC-91: Verify that Edit Profile button is displayed and clickable","webkit","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"","9943","Navigate from Challenge page to a specific Task and interact with video @Lazur @E2E","firefox","2026-06-29","passed","2026-06-29","","ui/challenge-tests/navigate-challenge-task-video.spec.ts","",""
"Verify that a user with insufficient role (ROLE_MANAGER) receives 403 Forbidden when attempting to create a city.","80","POST /api/city — should return 403 for user without sufficient role","api","2026-06-29","passed","2026-06-29","City API","api/city-api.spec.ts","",""
"Verify that an error is returned when trying to get a challenge by an invalid ID.","94","should not get challenge by negative id","api","2026-06-29","passed","2026-06-29","Challenge API","api/challenge-api.spec.ts","",""
"Verify that the full list of challenges is retrieved successfully.","87","should return a list of challenges","api","2026-06-29","passed","2026-06-29","Challenge API","api/challenge-api.spec.ts","",""
"","159","should restrict Manager from updating a task (Expect 403)","api","2026-06-29","passed","2026-06-29","Challenge Task API","api/challenge-task-api.spec.ts","",""
"Verify Social Media and Donation links routing on the Challenge page","11431","Verify Social Media and Donation links routing on the Challenge page","webkit","2026-06-29","passed","2026-06-29","TC-043","ui/social-info-test.spec.ts","",""
"","11407","TC-92: Verify navigation through sidebar tabs","firefox","2026-06-29","passed","2026-06-29","Profile Page Tests","ui/profile-page.spec.ts","",""
"","322","should not approve a registration with negative id","api","2026-06-29","failed","2026-06-29","Club Registration API","api/club-registration-api.spec.ts","",""
"Verify that the clubs are located in the city selected in the City dropdown","5107","should search by hint category and exact name","chromium","2026-06-29","passed","2026-06-29","search-bar","ui/filter-tests/search-filter-by-hint.spec.ts","",""
"","8923","Verify that the ""Навчай українською челендж"" challenge page contains ""Допомогти проєкту"" button with redirecting to the payment modal","firefox","2026-06-29","passed","2026-06-29","Payment Challenge","ui/help-tests/payment-challenge.spec.ts","",""
